Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,y
116394852,197,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7011061623240862,590836.8121827409,893444.3096224264,6463033.0,11.0,116047818.0,592080.7040816323,895561.227462568,6463033.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.6925147170598231,0.008591445264263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,197,0,1,0,-1,-1,0,0,27135322.66666667,18644201.683770467,41161016.0,5978000.0,5574192.0,769902.1042385844,6463033.0,5114922.0,0
119986026,231,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9335584962202184,519420.0259740258,672190.538066247,4868903.0,12.0,119625756.0,520111.9826086957,673574.148641494,4868903.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.9252241923572,0.0083343038630181,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,231,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118647686,66,70,1191.0,2079.0,27.0,15.0,18.04545454545455,1.7839611774131972,292.0,17.0,29.7,53.44409241902003,27.56058807586016,1.1462507578951011,878871.7481481482,970609.1582889884,2002619.0,454.0,118000641.0,1815394.476923077,505646.644216749,2003313.0,9918.0,118647686.0,1719531.6811594204,626303.391712024,2003333.0,824.0,0,1,0,0,2112,2240,0.5562687501549757,0.5899820077401257,15.0,292.0,23.99999999999999,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
119291980,219,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844214506289526,544712.2374429228,727353.2233803766,6230698.0,10.0,118704241.0,544514.8669724775,729021.3480592496,6230698.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.835831713079119,0.0083827932104069,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,219,0,1,0,-1,-1,0,0,11129792.0,0.0,11129792.0,11129792.0,6230698.0,0.0,6230698.0,6230698.0,0
110536258,14,18,279.0,2092.0,27.0,18.0,19.928571428571427,3.8323378226368807,292.0,17.0,116.22222222222229,118.7268518890193,21.449975265129744,0.2894977682345642,3565685.7419354827,8650722.318599826,38488079.0,227.0,79946254.0,6149711.846153846,10051422.631618254,38488079.0,711.0,110536258.0,6502132.823529412,11198776.251166778,39454370.0,423.0,0,1,0,0,448,576,0.1266552736026218,0.1628424946319424,17.0,292.0,72.66666666666667,99.2149392312804,9843.604166666664,0,0,0,1,1,0,0,0,1.0,74.9375,19.928571428571427,116.22222222222224,0,0,0,0,0,0,14,279,18,2092,-1,394,14,0,996002.0,1731618.958958206,4002578.0,1154.0,18264327.2,15155699.862506308,38488079.0,5779152.0,8
109872296,1,5,18.0,86.0,18.0,18.0,18.0,0.0,18.0,17.0,17.2,0.4472135954999577,0.9465534423709504,0.0546088524444779,21974459.2,12050895.974135686,42000137.0,11201186.0,0.0,0.0,0.0,0.0,0.0,109872296.0,27468074.0,10461905.324975211,42000137.0,17360412.0,0,1,0,0,32,160,0.0091014754074129,0.0455073770370649,17.0,18.0,17.428571428571427,0.5345224838248491,0.2857142857142861,0,0,0,1,1,0,0,0,5.0,20.33333333333333,18.0,17.2,0,0,0,0,0,0,1,18,5,86,-1,361,1,0,0.0,0.0,0.0,0.0,21974459.2,12050895.974135686,42000137.0,11201186.0,6
118964451,4,8,90.0,1025.0,27.0,18.0,22.5,5.196152422706632,292.0,17.0,128.125,125.11872932767272,9.37254777059409,0.1008704692799364,10814950.09090909,20382564.456984386,53033152.0,240.0,109999880.0,36666626.66666666,25764718.91789197,53034247.0,6967787.0,118964451.0,16994921.57142857,23872470.09233228,53033473.0,368.0,0,1,0,0,128,256,0.0336234897599788,0.0672469795199576,17.0,292.0,87.15384615384615,109.77085690492277,12049.641025641027,0,0,0,1,1,0,0,0,2.0,94.41666666666669,22.5,128.125,0,0,0,0,0,0,4,90,8,1025,-1,285,4,0,731.25,447.3867640718338,1141.0,321.0,29740321.5,25186881.80611225,53033152.0,6967466.0,8
344,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,2985465.11627907,5813.9534883720935,344.0,0.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,344.0,344.0,0.0,344.0,344.0,0,1,0,0,0,64,0.0,5813.9534883720935,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
118060014,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764717,54.19018917002141,27.15568033051394,1.118075422217043,901221.4809160304,971656.7802552456,2002077.0,188.0,116058918.0,1842205.047619048,428744.1226899877,2002444.0,138730.0,118060014.0,1762089.76119403,566365.0103509136,2002487.0,293.0,0,1,0,0,2048,2176,0.5420971744082632,0.5759782478087797,15.0,292.0,24.240601503759393,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764717,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
118792096,201,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7004498346421968,591005.4527363187,728530.111030621,4417844.0,11.0,118657938.0,593289.6899999997,729636.3498195134,4417844.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.6920317661538693,0.0084180684883277,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,201,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118986083,61,65,1107.0,2003.0,27.0,18.0,18.147540983606557,1.152331919396064,292.0,17.0,30.81538461538461,55.349145292546154,26.13751055238956,1.0589473728620848,951888.6639999996,995185.64563034,2080954.0,117.0,118421963.0,1973699.383333334,187744.47842566535,2081135.0,779060.0,118986083.0,1859157.546875,486513.3551195163,2081187.0,403.0,0,1,0,0,1952,2080,0.5126649979729142,0.5462823748891709,17.0,292.0,24.700787401574804,39.96036031119432,1596.8303962004743,0,0,0,1,1,0,0,0,1.0,24.896825396825395,18.147540983606557,30.81538461538461,0,0,0,0,0,0,61,1107,65,2003,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
118079981,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567112,292.0,17.0,30.073529411764717,54.1901891700214,27.151088379663612,1.1178863587384893,901373.9007633588,989554.1346155064,2002641.0,211.0,116078984.0,1842523.555555556,511558.70102351287,2002974.0,2077.0,118079981.0,1762387.776119403,624008.3678091287,2002928.0,299.0,0,1,0,0,2048,2176,0.5420055072671464,0.5758808514713429,15.0,292.0,24.240601503759397,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764717,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
666,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,1542042.042042042,3003.003003003003,666.0,0.0,666.0,666.0,0.0,0.0,0.0,0.0,0.0,666.0,666.0,0.0,666.0,666.0,0,1,0,0,0,64,0.0,3003.003003003003,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
747,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,1374832.6639892904,2677.376171352075,747.0,0.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,747.0,747.0,0.0,747.0,747.0,0,1,0,0,0,64,0.0,2677.376171352075,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
141,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,7283687.94326241,14184.397163120566,141.0,0.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,0.0,141.0,141.0,0,1,0,0,0,64,0.0,14184.397163120566,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
118053054,65,69,1212.0,2062.0,27.0,18.0,18.646153846153847,2.0873934795484868,292.0,17.0,29.88405797101449,53.813276360973155,27.733293541054856,1.135082875534927,887616.9473684209,976392.4829445204,2001618.0,117.0,116051637.0,1813306.828125,512434.5222555325,2001812.0,11950.0,118053054.0,1736074.3235294118,619721.4090294011,2001802.0,209.0,0,1,0,0,2080,2208,0.5505999023117183,0.5844829732232086,17.0,292.0,24.38518518518518,38.77470039631073,1503.477390823659,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
118055833,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.756444178972436,292.0,17.0,29.88405797101449,53.813276360973155,27.427700247559983,1.1350561560139092,887637.8421052631,974785.1081217448,2001693.0,140.0,116054854.0,1813357.093750001,501401.85722833424,2002039.0,116733.0,118055833.0,1736115.1911764713,614891.8278497169,2001957.0,311.0,0,1,0,0,2080,2208,0.5505869413500305,0.5844692146638786,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.092307692307692,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
118055744,65,69,1176.0,2062.0,27.0,15.0,18.092307692307692,1.756444178972436,292.0,17.0,29.88405797101449,53.813276360973155,27.427720924786176,1.1350570117113488,887637.172932331,969477.2071080176,2001280.0,502.0,116054228.0,1813347.3125,485998.36225009424,2002079.0,24073.0,118055744.0,1736113.8823529412,599349.5273509,2001982.0,567.0,0,1,0,0,2080,2208,0.5505873564271468,0.584469655284202,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.092307692307692,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
