Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,y
117222294,7,7,144.0,1007.0,27.0,18.0,20.571428571428573,4.3915503282684,292.0,17.0,143.85714285714286,126.30839055189293,9.818951333608943,0.119431206490465,9017099.53846154,9425879.98004125,28738373.0,8211.0,95010130.0,15835021.666666668,11771253.715673596,37803317.0,7486283.0,95214884.0,15869147.333333332,17108650.08662946,35771726.0,8211.0,0,1,0,0,236,224,0.0597156032452325,0.0597156032452325,17.0,292.0,96.2,116.53092783830888,13579.457142857142,0,0,0,1,1,0,0,0,1.0,103.07142857142856,20.571428571428573,143.85714285714286,0,0,0,0,0,0,7,144,7,1007,-1,461,7,0,1144359.6666666665,1598272.714711833,2971938.0,8211.0,14223651.875,8447536.516107393,28738373.0,6032847.0,8
118221334,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.306588622997605,1.0657974811889706,945770.672,987964.5397357,2067618.0,185.0,116219981.0,1936999.6833333336,253550.0706251463,2067955.0,886006.0,118221334.0,1847208.34375,480310.9958208532,2068165.0,235.0,0,1,0,0,1952,2080,0.5159813202581524,0.5498161609308181,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
118261138,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692308,55.37009224648823,26.297734425657225,1.0654387580812896,946089.104,995179.8107082556,2203384.0,153.0,116260004.0,1937666.7333333327,304780.14668392274,2203695.0,248125.0,118261138.0,1847830.28125,507505.26298493857,2203672.0,282.0,0,1,0,0,1952,2080,0.5158076527218941,0.5496311053593954,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
110542239,4,1,72.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,0.8141684193677315,0.0452315788537628,27635559.75,10497976.799947672,41011189.0,19000097.0,79536149.0,26512049.66666667,12559364.07204797,41011189.0,19000097.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,128,32,0.0361852630830102,0.0090463157707525,18.0,18.0,18.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,21.6,18.0,18.0,0,0,0,0,0,0,4,72,1,18,-1,321,4,0,0.0,0.0,0.0,0.0,27635559.75,10497976.799947672,41011189.0,19000097.0,6
118302743,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692308,55.37009224648823,26.288485973651515,1.0650640619550131,946421.944,988746.1271357152,2068330.0,297.0,116301048.0,1938350.8,257983.4276385381,2068875.0,766062.0,118302743.0,1848480.359375,482740.994166574,2069002.0,297.0,0,1,0,0,1952,2080,0.5156262522163159,0.5494378097386973,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
118051419,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.756444178972436,292.0,17.0,29.88405797101449,53.813276360973155,27.42872578261852,1.1350985963158986,887604.6541353381,973413.5636435696,2001597.0,178.0,116049792.0,1813278.0,498629.4649276789,2001814.0,17123.0,118051419.0,1736050.2794117646,610583.9854794468,2001837.0,313.0,0,1,0,0,2080,2208,0.5506075280636822,0.5844910682522164,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545056,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.092307692307692,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118283424,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074252,292.0,17.0,30.67692307692308,55.37009224648825,26.292779620583183,1.06523801678247,946267.392,989468.2448485284,2069112.0,203.0,116282134.0,1938035.566666667,261493.57799207448,2069395.0,694862.0,118283424.0,1848178.5,484466.3507872463,2069360.0,268.0,0,1,0,0,1952,2080,0.5157104684423068,0.5495275483401629,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
118055561,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.756444178972436,292.0,17.0,29.88405797101449,53.813276360973155,27.42776344097844,1.135058771183172,887635.7969924816,972316.301082897,2001376.0,193.0,117624876.0,1837888.6875,464562.92124406726,2001639.0,19989.0,118055561.0,1736111.1911764704,607215.2278864076,2001619.0,253.0,0,1,0,0,2080,2208,0.5505882099022851,0.584470561280887,15.0,292.0,24.11851851851851,38.80761039608732,1506.030624654505,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.092307692307692,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
118059630,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567108,292.0,17.0,30.073529411764717,54.1901891700214,27.15576865690669,1.1180790588620344,901218.5496183208,967363.5362940164,2002317.0,329.0,116057873.0,1842188.46031746,410155.7519711193,2002961.0,367710.0,118059630.0,1762084.0298507465,553254.6862478538,2003069.0,329.0,0,1,0,0,2048,2176,0.5420989376300773,0.5759801212319571,15.0,292.0,24.240601503759397,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764717,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
119702715,61,65,1107.0,2003.0,27.0,18.0,18.147540983606557,1.152331919396064,292.0,17.0,30.81538461538461,55.349145292546154,25.98103142439167,1.0526077040107236,957621.72,996037.4571305572,2075191.0,234.0,118416979.0,1973616.316666667,204766.089368092,2075914.0,503014.0,119702715.0,1870354.921875,470500.1072223046,2075831.0,234.0,0,1,0,0,1952,2080,0.5095957932115408,0.5430119107991828,17.0,292.0,24.700787401574804,39.96036031119432,1596.8303962004743,0,0,0,1,1,0,0,0,1.0,24.896825396825395,18.147540983606557,30.81538461538461,0,0,0,0,0,0,61,1107,65,2003,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
