Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,y
118060250,64,68,1161.0,2045.0,27.0,15.0,18.140625000000007,1.726241789056711,292.0,17.0,30.0735294117647,54.1901891700214,27.155626046870136,1.1180731872073792,901223.2824427488,974684.2990739128,2001323.0,213.0,116058959.0,1842205.6984126992,442916.5335187642,2001614.0,286619.0,118060250.0,1762093.283582089,576533.9753018004,2001599.0,297.0,0,1,0,0,2048,2176,0.5420960907672142,0.5759770964401651,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764717,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
156,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,6583333.333333333,12820.51282051282,156.0,0.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,156.0,156.0,0.0,156.0,156.0,0,1,0,0,0,64,0.0,12820.51282051282,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
118058653,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692308,55.37009224648823,26.3428382500688,1.0672661155976428,944469.2240000004,1000281.4539712413,2000486.0,485.0,116056833.0,1934280.55,355064.86252640624,2001843.0,33095.0,118058653.0,1844666.453125,534429.5580896537,2001839.0,485.0,0,1,0,0,1952,2080,0.516692325805208,0.5505737897924348,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
118054975,63,67,1146.0,2028.0,27.0,15.0,18.190476190476197,1.6930326184112956,292.0,17.0,30.268656716417908,54.575103128639014,26.885779273596892,1.1011818858120972,915154.84496124,977137.2711642592,2000649.0,418.0,116053059.0,1871823.532258064,388898.65744722384,2001674.0,237001.0,118054975.0,1788711.7424242424,544770.9556773747,2002339.0,418.0,0,1,0,0,2016,2144,0.533649683124324,0.5675322026877733,15.0,292.0,24.366412213740443,39.37320566985979,1550.24932472108,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
468,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,2194444.4444444445,4273.504273504273,468.0,0.0,468.0,468.0,0.0,0.0,0.0,0.0,0.0,468.0,468.0,0.0,468.0,468.0,0,1,0,0,0,64,0.0,4273.504273504273,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
118059784,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692308,55.37009224648823,26.342585888518983,1.067255891303342,944478.272,991659.736210569,2000453.0,495.0,116058039.0,1934300.65,295435.2589748209,2002123.0,391954.0,118059784.0,1844684.125,501765.4507618139,2002297.0,495.0,0,1,0,0,1952,2080,0.5166873759484433,0.5505685153548985,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.67692307692308,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
269,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,3817843.866171004,7434.944237918216,269.0,0.0,269.0,269.0,0.0,0.0,0.0,0.0,0.0,269.0,269.0,0.0,269.0,269.0,0,1,0,0,0,64,0.0,7434.944237918216,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
119014707,61,65,1107.0,2003.0,27.0,18.0,18.147540983606557,1.152331919396064,292.0,17.0,30.81538461538461,55.349145292546154,26.13122426961905,1.0586926874508038,952117.656,994424.8868275177,2100447.0,311.0,118425955.0,1973765.9166666665,186441.9999148453,2101239.0,815970.0,119014707.0,1859604.796875,485012.0593209041,2101279.0,311.0,0,1,0,0,1952,2080,0.5125416978928495,0.5461509895579544,17.0,292.0,24.700787401574804,39.96036031119432,1596.8303962004743,0,0,0,1,1,0,0,0,1.0,24.896825396825395,18.147540983606557,30.81538461538461,0,0,0,0,0,0,61,1107,65,2003,-1,227,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
118056621,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73245559857248,1.1350485797827468,887643.7669172934,975754.4960831428,2001259.0,89.0,116055264.0,1813363.5,509669.3274605557,2001520.0,14866.0,118056621.0,1736126.7794117646,617934.5528225424,2001502.0,275.0,0,1,0,0,2080,2208,0.5505832663125264,0.5844653134702203,17.0,292.0,24.385185185185183,38.77470039631073,1503.477390823659,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
118047359,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764703,54.1901891700214,27.158591493774967,1.1181952829626625,901124.8778625956,967651.5357114002,2001402.0,439.0,116045509.0,1841992.2063492064,412217.60468968545,2002172.0,43104.0,118047359.0,1761900.8805970154,554696.7566612415,2002246.0,439.0,0,1,0,0,2048,2176,0.5421552887091697,0.5760399942534928,15.0,292.0,24.240601503759397,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764717,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
