round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.575532913208008,0.14439024031162262,4.0735602378845215,0.592390239238739,0.5177773472461783
2,1.0739752054214478,0.5278048515319824,1.0524110794067383,0.5943414568901062,0.5229145964858986
3,0.9550361633300781,0.5960975885391235,0.8125073313713074,0.5988292694091797,0.5272048197963498
4,0.8510305285453796,0.6058536767959595,0.7484264373779297,0.601365864276886,0.5336208092467712
5,0.7680171132087708,0.6517072916030884,0.7229230403900146,0.6632195115089417,0.5781951087583602
6,0.7316666841506958,0.6663414835929871,0.6957739591598511,0.6876097321510315,0.6285616303587443
7,0.7182008028030396,0.6556097269058228,0.6811150908470154,0.6915121674537659,0.6310220310298493
8,0.692188024520874,0.6663414835929871,0.6603184938430786,0.6915121674537659,0.631775299488403
9,0.6752893924713135,0.6868292689323425,0.6532790660858154,0.6874146461486816,0.6291574949895828
10,0.6671726107597351,0.6770731806755066,0.6276965737342834,0.6915121674537659,0.6332739698963362
11,0.6418204307556152,0.6780487895011902,0.6086467504501343,0.6669268012046814,0.5812385919316766
12,0.6348716020584106,0.671219527721405,0.6011192202568054,0.6675121784210205,0.5818363982856325
13,0.6401322484016418,0.6790243983268738,0.5879142880439758,0.6940487623214722,0.6600521758263934
14,0.6320720314979553,0.6829268336296082,0.5763763189315796,0.6907317042350769,0.6320655393023725
15,0.6159787774085999,0.6975609660148621,0.5792796015739441,0.6956097483634949,0.6402663370228944
16,0.6177806854248047,0.680975615978241,0.5683974623680115,0.6909268498420715,0.6301924076597099
17,0.6052311062812805,0.6604878306388855,0.5645325779914856,0.6924877762794495,0.6322131161285929
18,0.6029008030891418,0.6819512248039246,0.5772383213043213,0.6704390048980713,0.5847758677882307
19,0.5965428352355957,0.6790243983268738,0.5521887540817261,0.6959999799728394,0.6405924188051119
20,0.5919101238250732,0.7053658366203308,0.5563361644744873,0.7020487785339355,0.6523247924893737
