round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.938710927963257,0.09190244227647781,0.025264927105321903
1,,,1.0530227422714233,0.5797073245048523,0.49138875944345195
2,,,0.9558491110801697,0.6874146461486816,0.6388157328860875
3,,,0.8434844613075256,0.6909268498420715,0.6466211507579614
4,,,0.7555941939353943,0.712195098400116,0.6693233935793674
5,,,0.7108028531074524,0.7039999961853027,0.6709428254000644
6,,,0.6916494369506836,0.6963902711868286,0.6525426242949018
7,,,0.6669248938560486,0.6971707344055176,0.6533490126346231
8,,,0.6471718549728394,0.6932682991027832,0.6360615526176014
9,,,0.6341278553009033,0.695414662361145,0.6368295150407156
10,,,0.6190004944801331,0.696975588798523,0.6527833435255758
11,,,0.6021569967269897,0.6987317204475403,0.6666449091256077
12,,,0.5940751433372498,0.7022439241409302,0.6641766932820509
13,,,0.590049684047699,0.6930731534957886,0.6379234372772937
14,,,0.5788636207580566,0.6977561116218567,0.6579933366332564
15,,,0.5726935267448425,0.7057560682296753,0.676375789346853
16,,,0.5648869276046753,0.6958048939704895,0.6695641062441141
17,,,0.560672402381897,0.6987317204475403,0.6559996848832422
18,,,0.5574590563774109,0.6995121836662292,0.6571401896543299
19,,,0.5514453053474426,0.7016585469245911,0.6610592722777768
20,,,0.5513607859611511,0.7080975770950317,0.6658433914326425
