round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.667154550552368,0.12045454233884811,0.04377821230269046
1,,,1.1097595691680908,0.6454545259475708,0.5853007260689188
2,,,0.9648814797401428,0.6763636469841003,0.6164299612044398
3,,,0.8531712293624878,0.6895454525947571,0.630083786363514
4,,,0.7847465872764587,0.6922727227210999,0.6330983359340008
5,,,0.7354415655136108,0.6940909028053284,0.6359099585919596
6,,,0.7015625834465027,0.6981818079948425,0.6420685616399071
7,,,0.6738223433494568,0.6968181729316711,0.6407333168323808
8,,,0.654215395450592,0.6959090828895569,0.6369320609824413
9,,,0.6319493651390076,0.6990908980369568,0.6404269225733016
10,,,0.6199638247489929,0.6977272629737854,0.6385082862130464
11,,,0.604398787021637,0.7013636231422424,0.6507499150514837
12,,,0.5949692726135254,0.6990908980369568,0.6432665436868967
13,,,0.5844043493270874,0.7004545331001282,0.6418816199846072
14,,,0.575989842414856,0.699999988079071,0.6414727392192138
15,,,0.5714502334594727,0.6990908980369568,0.640919740691255
16,,,0.5622246265411377,0.7018181681632996,0.6454139145906524
17,,,0.5586282014846802,0.7013636231422424,0.643212684590327
18,,,0.5569401383399963,0.6990908980369568,0.6415322317562417
19,,,0.5513339638710022,0.7009090781211853,0.6418097573466198
20,,,0.5471618175506592,0.7009090781211853,0.6425692667500003
