round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,3.1484177112579346,0.11272726953029633,0.038916360387580624
1,,,1.1279441118240356,0.6000000238418579,0.5293885962752368
2,,,1.0171823501586914,0.6277272701263428,0.569152932656779
3,,,0.940968930721283,0.6104545593261719,0.5460606482844439
4,,,0.8710883259773254,0.6918181777000427,0.632566338841276
5,,,0.8161317706108093,0.6936363577842712,0.6339375420018349
6,,,0.7707910537719727,0.6959090828895569,0.6472334542253644
7,,,0.7384995222091675,0.6831818222999573,0.6426939145552976
8,,,0.7114728093147278,0.6945454478263855,0.6579655579146589
9,,,0.689980149269104,0.696363627910614,0.6371844591326582
10,,,0.671930730342865,0.699999988079071,0.6628784674918772
11,,,0.6557225584983826,0.6922727227210999,0.6438298539283487
12,,,0.6394091248512268,0.6949999928474426,0.6470773525940747
13,,,0.6244794726371765,0.7045454382896423,0.6739730352962554
14,,,0.6122318506240845,0.6945454478263855,0.6468621613604153
15,,,0.6022326946258545,0.692727267742157,0.663757129493517
16,,,0.5919751524925232,0.6949999928474426,0.6477071084403249
17,,,0.584006130695343,0.6968181729316711,0.6489805919650059
18,,,0.5756411552429199,0.6968181729316711,0.6495068209600476
19,,,0.567572295665741,0.7149999737739563,0.6960529261269898
20,,,0.5621514916419983,0.7054545283317566,0.6667410687297401
