round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.620454788208008,0.09209100902080536,1.0398472547531128,0.6118181943893433,0.552501310354287
2,1.110366940498352,0.5119176506996155,0.9176815748214722,0.6331818103790283,0.580343004085395
3,0.987089991569519,0.5666305422782898,0.8040422201156616,0.6913636326789856,0.6313186893024817
4,0.8345735669136047,0.6327193975448608,0.7373951077461243,0.6936363577842712,0.6334591664827746
5,0.7642552852630615,0.638678252696991,0.6921122670173645,0.6940909028053284,0.633677759615597
6,0.7180701494216919,0.6468039155006409,0.6538691520690918,0.6977272629737854,0.6383555466190578
7,0.6752883791923523,0.6690140962600708,0.6223958730697632,0.6954545378684998,0.6489813374401755
8,0.645261824131012,0.6760563254356384,0.5995922684669495,0.699999988079071,0.6467999595922799
9,0.6254458427429199,0.6820151805877686,0.5857127904891968,0.696363627910614,0.6516841630691731
10,0.600353479385376,0.6858071684837341,0.568060040473938,0.7072727084159851,0.6642222553510114
11,0.5850421190261841,0.6901408433914185,0.5535386204719543,0.6918181777000427,0.6426517317113225
12,0.5724930763244629,0.6863488554954529,0.5466119647026062,0.692727267742157,0.6435597923294457
13,0.5591169595718384,0.7101841568946838,0.5336176753044128,0.6995454430580139,0.6527490446097292
14,0.5527856945991516,0.6988082528114319,0.528532862663269,0.6922727227210999,0.6433645116126884
15,0.5432873368263245,0.7009750604629517,0.5230088829994202,0.6990908980369568,0.6630205288527912
16,0.5385248064994812,0.6890574097633362,0.5193881988525391,0.706818163394928,0.6629630429522212
17,0.5350894331932068,0.7004333734512329,0.5172173380851746,0.696363627910614,0.6551985395472312
18,0.5309225916862488,0.6977248191833496,0.5157591104507446,0.6968181729316711,0.6537718802552293
19,0.5324793457984924,0.6906825304031372,0.5146371126174927,0.7004545331001282,0.658868250350785
20,0.5260904431343079,0.7004333734512329,0.5120923519134521,0.6990908980369568,0.665260097932865
