round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.6795852184295654,0.08487804979085922,9.230828285217285,0.5479024648666382,0.46590666480115434
2,1.1403324604034424,0.507317066192627,3.2291386127471924,0.4868292808532715,0.41506672650034315
3,1.0203639268875122,0.583414614200592,0.9596791863441467,0.6614634394645691,0.5764184163266478
4,0.9510935544967651,0.6009756326675415,0.8793606162071228,0.6860488057136536,0.6417949794630646
5,0.898312509059906,0.6273170709609985,0.8180969953536987,0.6409755945205688,0.5922533175067424
6,0.8234241008758545,0.6380487680435181,0.7665690183639526,0.6891707181930542,0.6305309584646662
7,0.7717528343200684,0.6595122218132019,0.7304926514625549,0.6899512410163879,0.6297257474301846
8,0.7349563837051392,0.6868292689323425,0.7054102420806885,0.6897560954093933,0.6319325789545275
9,0.7077088356018066,0.6595122218132019,0.6838023066520691,0.691317081451416,0.6344935908072433
10,0.6806962490081787,0.6780487895011902,0.6679655909538269,0.6952195167541504,0.6388940217950425
11,0.6591324210166931,0.6858536601066589,0.6558855772018433,0.6647804975509644,0.5799251523025187
12,0.6576324701309204,0.6946341395378113,0.6363232731819153,0.6924877762794495,0.6357860039748091
13,0.6495519876480103,0.671219527721405,0.6421424150466919,0.6839024424552917,0.6220974799485333
14,0.6229856014251709,0.676097571849823,0.6175596714019775,0.7034146189689636,0.6622122887321008
15,0.6186432242393494,0.676097571849823,0.6081498861312866,0.6694633960723877,0.5840889371505373
16,0.6034672856330872,0.6819512248039246,0.6046085357666016,0.669853687286377,0.6150123627786951
17,0.5866506695747375,0.6975609660148621,0.5849032998085022,0.6995121836662292,0.6450468819356098
18,0.5697041153907776,0.7063414454460144,0.5790718793869019,0.6936585307121277,0.6339988062077558
19,0.5835172533988953,0.6858536601066589,0.5821444988250732,0.669853687286377,0.5846957418732832
20,0.562576413154602,0.7229268550872803,0.5647355914115906,0.7014634013175964,0.6465443017302557
