round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.5132510662078857,0.15378610789775848,1.0856170654296875,0.6568182110786438,0.5816058111828549
2,1.1074111461639404,0.510538637638092,0.9874138832092285,0.6654545664787292,0.6004551305511348
3,0.986412763595581,0.5737704634666443,0.8562573790550232,0.6572727560997009,0.601742921500793
4,0.8603007793426514,0.607338011264801,0.7669651508331299,0.6895454525947571,0.629688146924873
5,0.7766984105110168,0.6393442749977112,0.6965057253837585,0.6899999976158142,0.6307882124897092
6,0.7137362360954285,0.6971116065979004,0.6402677893638611,0.6954545378684998,0.639075839457147
7,0.6615879535675049,0.6900858879089355,0.604327917098999,0.692727267742157,0.6349757907504124
8,0.6472651362419128,0.6830601096153259,0.5762012600898743,0.6922727227210999,0.6442227336451303
9,0.6109243035316467,0.6994535326957703,0.5621455311775208,0.699999988079071,0.6449307423507783
10,0.5990296006202698,0.6869633197784424,0.5498231649398804,0.6977272629737854,0.6384722880694247
11,0.5917456746101379,0.7072599530220032,0.5409976840019226,0.6959090828895569,0.6444596303221912
12,0.5803006291389465,0.6916471719741821,0.5340726971626282,0.7018181681632996,0.6641570801254374
13,0.5728780627250671,0.6947697401046753,0.530244767665863,0.6977272629737854,0.6558016304922054
14,0.5630595684051514,0.6932084560394287,0.5237385630607605,0.7022727131843567,0.6436324388857217
15,0.5528536438941956,0.7056986689567566,0.5204978585243225,0.7022727131843567,0.6647129087979377
16,0.5604533553123474,0.6971116065979004,0.5195473432540894,0.7036363482475281,0.6716164530765426
17,0.5573130249977112,0.7010148167610168,0.5170753598213196,0.7022727131843567,0.6556811249516915
18,0.5465632081031799,0.6908665299415588,0.5163194537162781,0.699999988079071,0.6410395021889084
19,0.5418932437896729,0.6971116065979004,0.5136919617652893,0.7099999785423279,0.6761514349871199
20,0.5376642942428589,0.6932084560394287,0.5142049789428711,0.7063636183738708,0.6687542109682892
